Reported Date,Resolved Date,Incident,Incident Start Time,Incident End Time,MTTR (hh:mm),Business Platform - Area of Cause,Product Portfolio -Area of cause,Impacted Business Platform,Impacted Product portfolio,Impacted business process,Inc Category,Description,Organisation,Team ,Financial Impact,Application/Service Impacted?,RC Status,Problem Record,Background,Next Steps / Solution,Initial RCA Date,Final RCA Date (Once the cause is fully known),Solution Identified Date,Planned Solution Deployment  Date,Actual Solution Deployment  Date,Does an alert already exist? Is configuration required/applicable?,Was the incident identified through the alert?,Does a  workaround exist ? Was it used?,Is Permanent Fix Deployed?,RC Category,Issue caused due to CR or WO,Root Cause,Reference CR/WO,Reason for failed change/issue,Risk ID/ Backlog id,Closed Date,Closed Month,Closed Year,Problem manager,Open/Closed,MIM,Problem actions - Added?  Y/N/NA,Year,Month #,Month Name,Current day,Ageing,Aging Bucket
4/1/2025,4/1/2025,90698496,9:43,11:15,01:32,GTS,Enterprise Technology Platform,"Customer Channels, Group Platforms","Selling Experience, Service Experience, Data, Finance",Others,MI,Microsoft central outage impacting multiple services hosted within Northern Europe,Microsoft,Microsoft,TBC,"Drop in .com orders, Scan & Shop Mobile, Retail In-day Sales Dashboard, Stock Movement Tool, Power BI Reports, and SAP POSDTA application",RC in progress,72363,"Multiple applications/services hosted on Microsoft Azure North Europe region were impacted between 09:40 and 11:30. Customers were unable to place orders on the UK and Ireland website resulting in an order drop and loss of sales. Also, Scan & Shop Mobile, Retail In-day Sales Dashboard, Stock Movement Tool, Power BI Reports, and SAP POSDTA application were impacted. The root cause was attributed to an unplanned power outage at Microsoft’s North Europe Data Centre. Services were recovered after the power was restored. ",,4/1/2025,,,,,,,,,External Dependencies,,The root cause was attributed to an unplanned power outage at Microsoft’s North Europe Data Centre.,NA,NA,NA,,,,Rehan,Open,MIM,Y,2025,4,April,9/16/2025,168,>60
3/31/2025,TBC,90708017,06:00,TBC,TBC,Customer Channels,Selling Experience,Customer Channels,"Selling Experience, Service Experience ",Manage Online Payment & Content ,SI,Delay in payment processing  via Apple pay for large order value purchases,Customer,TBC,No Financial Impact,OMS,RC in progress,See Note,"Customers using the mobile app to pay via Apple Pay were receiving a ""payment failed"" message, even though the orders were successful. This issue affected approximately 100 orders per day. The root cause is related to latency in the order reservation processing time. A fix is scheduled for deployment on 15/04, which includes redeploying the previously reverted WCS release aimed at resolving this issue. Additionally, customer orders have not been placed successfully due to multiple scenarios, impacting around 350 orders per week. Further investigations are ongoing.",,TBC,,,,,,,,,Root Cause Undetermined/Still Under Investigation,,"The root cause is related to latency in the order reservation processing time. A fix is scheduled for deployment on 15/04, which includes redeploying the previously reverted WCS release aimed at resolving this issue. ",,,,,,,Naveen,Open,.Com SM,Incident in progress,2025,3,March,9/16/2025,169,>60
3/30/2025,4/1/2025,90694336,9:15,10:30,49:15,Customer Channels,Service Experience,Customer Channels,Platform and store ops,Others,KI,Some UK Mainchain and Outlet stores facing issues with incoming calls on their Ascom phones,Mitel,NA,No Financial Impact, ASCOM Phones,RC identified,72365,"Around 32 stores (UK Mainchain + outlet) reported issues whilst receiving incoming calls on ASCOM phones at stores. This impacted colleagues ability to address customer queries and also SOC , City FM and various helpdesks were unable to reach out to the stores causing inconvenience to colleagues. To mitigate the impact, all calls were routed to the secondary Mitel IP in Manchester at 18:18 on 31/03. The root cause was attributed to the addition of new SIP (Session Initiation Protocol) link to the Mitel Mi Voice Border Gateway (MBG) whilst testing the ROI calls from Sabio to Twilio resulting in an IP conflict. The permanent fix was applied by disabling the new SIP link on 10:30, 01/04 , followed by which the resilience has been restored.",,3/31/2025,,,,,,,,,External Dependencies,,. The root cause was attributed to the addition of new SIP (Session Initiation Protocol) link to the Mitel Mi Voice Border Gateway (MBG) whilst testing the ROI calls from Sabio to Twilio resulting in an IP conflic,NA,NA,,,,,Pavithra,Open,MIM,PIR to be held ,2025,3,March,9/16/2025,170,>60
3/29/2025,3/29/2025,90693741,12:15,16:54,04:39,Business Process Services,Business Process Services,"C&H and Intl, Customer Channels","C&H and Intl Supply Chain, Service Experience","Manage Pick & Allocation of Stock and Orders (Castle Donington), Manage Pick of C&H Stock, Manage Payment & Content Customer.Com",MI," Ecomm DC's (Donington, Ollerton and Brands) unable to view orders with delivery date on 30/03 in WMS",Customer,TBC - C&H Fulfilment Operations (Business),"£472,000.00","OMS, WMS",RC in progress,72329,"Ecomm DCs (Donington, Ollerton, and Brands) were unable to view orders scheduled for delivery on 30/03 between 06:00 and 16:54. Impact to customer miss promise is being ascertained. Order proposition was moved to +24 hours, hence customers were unable to place orders for delivery date 30/03 between 10:00 and 16:54. Approximately 10k orders had an incorrect delivery date of 31/03, a workaround was applied by the DC operations to process these orders.  The root cause was attributed to the system design in OMS and WMS unable to handle the 24 hours delivery lead time ahead of clock change. Services were restored by adjusting the ordering and carrier cut-off times in the Order Management System (OMS).",,3/31/2025,,,,,,,,,Software Defects/Limitation,,The root cause was attributed to the system design in OMS and WMS unable to handle the 24 hours delivery lead time ahead of clock change.,NA,NA,,,,,Pavithra,Open,MIM,,2025,3,March,9/16/2025,171,>60
3/26/2025,3/26/2025,TBC,07:30;11:30,08:15; 13:00,02:15,C&H and Intl ,C&H & Intl Supply Chain, C&H and Intl,C&H and Intl Supply Chain,Manage Pick & Allocation of Stock and Orders (Castle Donington),KI,Issues with pack benches & auto bagger impacting packing operations at Donington,Customer,Warehouse Platform,"£1,440.00",Packing operations,RC in progress,,"Castle Donington colleagues reported that pack benches were randomly logging out of WMS between 07:30 and 08:15. Additionally, the auto-bagger functionality, which depends on the pack benches to process orders, was disrupted between 11:30 and 13:00. Approx. 175 pack benches were impacted leading to a capability loss of 2.4k singles and a finance loss of £1,440. Root cause was attributed to a pack screen URL change which was reverted to restore the services.",,3/26/2025,,,,,,,,,Change Failure,, Root cause was attributed to a pack screen URL change which was reverted to restore the services.,Unauthorised change,TBC,NA,,,,Rehan,Open,MIM,,2025,3,March,9/16/2025,174,>60
3/25/2025,3/25/2025,90685299,05:00,5:29,00:29,Customer Channels,Selling Experience,Customer Channels,Selling Experience,Manage Payment & Content Customer.Com,MI,Customers unable to place orders across UK & IE website.,Customer,WCS,"£12,000.00",Website,RC identified,72326,"Customers were unable to place orders on UK and Ireland website across all channels between 05:00 and 05:29. There was order drop of 200 orders resulting in poor customer experience and finance loss of £12,000. The root cause is attributed to a human error resulting in configuring the website traffic to the incorrect WCS environment as part of the monthly WCS release. Services were restored by rerouting the traffic to the correct WCS origin.  ",,3/26/2025,,,,,,,,,Change Failure,,"The root cause was human error whilst making configuration changes for the GTM and while reviewing the changes that had been made.
There are seven property changes in the Akamai Configuration for Global Traffic Management (GTM) that need to be made in order to move the customer traffic between halls. 
This configuration has to be changed manually via Akamai GUI. However, instead of all 7 properties being modified correctly, only the first property was correctly changed. This resulted in only the first property routing traffic to Hall 1 (i.e. the hall which should receive all customer traffic whilst the deployment took place on hall 2).
2.Although a peer view of the configuration changes took place, instead of validating all 7 properties, only the first property was checked.  The reviewer saw that the 1st property was pointing to the correct hall and did not notice that the remaining 6 were pointing to the wrong hall. ",CR220912,Human Error,NA,,,,Balaji,Open,.Com SM,,2025,3,March,,,
3/21/2025,3/22/2025,90679421,13:30,6:38,17:08,Customer Channels,Service Experience,Various,"Service Experience , Platform & Store Ops , Data , Foods","Manage Payments & Point of Sales in store, Manage Allocation of Food Stock, other",MI,"Store tills offline to POS Beanstore impacting refunds, gift card transactions",Customer,POS Team,No Financial Impact,"POS tills, Refunds, Gift card transactions, Retail Dashboard data",RC in progress,72312,"Store tills were offline to POS Beanstore between 13:30 and 18:38 impacting refunds, gift card transactions, store stock position, critical Food reports & Retail Dashboard inday sales. However, card payments remained unaffected. Store counting was blocked to avoid stock corruption. The initial root cause is attributed to the Azure express route failover after a fiber break within Vodafone infrastructure causing a spike in CPU utilization on the POS BeanStore application servers, leading to slowness in message processing.  A clean restart of the POS Beanstore application cluster was performed followed by disabling Dynatrace agent and the piled-up messages were processed from POS by 00:30. Investigations are ongoing to determine the underlying root cause, while hypercare is in place to closely monitor application performance.",,3/21/2025,,,,,,,,,Root Cause Undetermined/Still Under Investigation,,"The initial root cause is attributed to the Azure express route failover after a fiber break within Vodafone infrastructure causing a spike in CPU utilization on the POS BeanStore application servers, leading to slowness in message processing.",NA,,,,,,Saloni,Open,MIM,PIR held,2025,3,March,9/16/2025,179,>60
3/21/2025,3/21/2025,90678495,07:00,13:35,06:35,Business Process Services,Business Process Services,Customer Channels,Selling Experience & Customer Engagement,Manage Payment & Content Customer.Com,SI,"Incorrect promo code badge appearing across high volume of PLP's, SRP's & PDP's for UK (Web & App)",Customer,Online BPS,No Financial Impact,Website,RC identified,72313,"Customers were encountering a ""test promo code badge"" across a high volume of PLPs, PDPs, SRPs on the Customer UK website. Around 125k items were impacted resulting in a sub optimal customer experience across web and apps, however, there was no order drop across web and apps. The root cause is attributed to an incorrect promotion code set up by the business teams. The promotion has been deactivated and multiple workarounds have been applied to remove the promotion from the PLPs, PDPs on the website by 13:35.",,3/21/2025,,,,,,,,,Operational Process Issues,, The root cause is attributed to an incorrect promotion code set up by the business teams.,NA,,,,,,Balaji,Open,.Com SM,"PIR doc sent, Actions yet to be added.",2025,3,March,9/16/2025,179,>60
3/17/2025,3/17/2025,90669693,05:30,6:20,00:50,Business Process Services,Business Process Services,Customer Channels,Selling Experience & Service Experience,Manage Payment & Content Customer.Com,MI,Goodwill voucher of $100 auto applied for international orders from US site,Customer,Online BPS,"£36,854.00",Website,RC identified,72375,"Vendor Global E reported an increase in international order volume due to a $100 Goodwill Voucher applied to international orders from the US side between 5:30 and 6:20. Around 25k orders were impacted resulting in poor customer experience and colleague inconvenience at Donington & Ollerton DCs. 223 orders were delivered to customers and a £10 voucher was issued to customers with cancelled orders incurring a financial loss of £36,084. The root cause was attributed to a promotion automation deployment on 14/03, where a $100 Goodwill Voucher was inadvertently applied during functionality testing by the Online Business Process Services team. Services were restored by deactivating the promotion, and impacted orders were either short shipped at the CD & Ollerton DCs and cancelled or not delivered to customers by Global E.",,3/17/2025,,,,,,,,,Change Failure,,"The root cause was attributed to a promotion automation deployment on 14/03, where a $100 Goodwill Voucher was inadvertently applied during functionality testing by the Online Business Process Services team",CR218286,Inadequate testing,,,,,Pavithra,Open,.Com SM,,2025,3,March,9/16/2025,183,>60
3/14/2025,3/14/2025,90661983,10:15,12:45,02:30,Business Process Services,Business Process Services,Customer Channels,Service Experience,Manage Payment & Point of Sales in store,SI,"Multiple wine products scanning at incorrect prices across Scotland, Wales and Ireland stores",Customer,Foods BPS,"£5,500.00",Website ,RC identified,72002,"61 wine products across 116 stores in Scotland, Ireland and Wales were scanning at incorrect prices on store tills between 10:15 and 12:45. Approx. 500 customers were impacted resulting in poor customer experience and a finance loss of £5.5k. The root cause was attributed to a human error whilst updating the unit quantity for multiple wine products as requested by the Business. Services were restored after the prices were manually corrected in POS and sent to the store tills.",,3/14/2025,,,,,,,,,Operational Process Issues,,The root cause was attributed to a human error whilst updating the unit quantity for multiple wine products as requested by the Business,NA,,,,,,Saloni,Open,MIM,Y,2025,3,March,9/16/2025,186,>60
3/14/2025,3/14/2025,90664432,09:49,11:42,01:53,Customer Channels,Selling Experience,Customer Channels,Selling Experience,Manage Payment & Content Customer.Com,MI,Customers on Ireland site redirecting to UK site,Customer,Onyx,"£20,000.00",Website,RC identified,72110,"Customers trying to access the Customer Ireland website were being redirected to the UK site between 09:49 and 11:42. There was a drop in 278 orders resulting in poor customer experience and a financial loss of £20k. The root cause was attributed to a change deployed on the Website Home Page, which was reverted to restore services.",,3/14/2025,,,,,,,,,Change Failure,,"The root cause was attributed to a change deployed on the Website Home Page, which was reverted to restore services.",Unauthorised Change ,Insufficient regression testing,NA,,,,Naveen,Open,.Com SM,Y,2025,3,March,9/16/2025,186,>60
3/14/2025,3/14/2025,90664966,08:00,13:00,05:00,Foods,Food Supply Chain,Foods,Food Supply Chain,Manage Allocation of Food Stock,SI,17 Foods suppliers served by True Commerce were getting duplicated advance shipping notice,True commerce,NA,"£3,900.00","Foods RDC's, FITS",RC identified,72211,Approximately 17 Foods suppliers served by True Commerce were getting duplicated advance shipping notices (ASN's) resulting in a stock receiving issue in the RDC's. This impacted 25k trays and required 216 man hours to manually receive the stock at the sites.  True Commerce reverted a system mapping change in their environment to resolve the issue.  Further details being sought from True Commerce. ,,3/14/2025,,,,,,,,,External Dependencies,,"a new setting was added by True Commerce to send messages to supplier GXS. A test message format was created, but sender/receiver details were missing. As a result, duplicate ASNs were generated and sent in two different formats. This resulted in Food RDC's getting an original ASN and a subsequent duplicate ASN which was non-compliant.",#220178,,,,,,Rehan,Open,MIM,Y,2025,3,March,9/16/2025,186,>60
3/12/2025,3/12/2025,90659216,14:40,15:20,00:40,Customer Channels,Selling Experience,Customer Channels,Selling Experience,Manage Payment & Content Customer.Com,MI,Customers unable to access the basket page via desktop and mobile browsers,Customer,Price Domain,No Financial Impact,Website,RC identified,72377,"Alerting indicated that customers were experiencing errors while accessing the basket page via desktop and mobile web browsers between 14:40 and 15:20. Approx. 1000 customers were unable to view their baskets or proceed to checkout, resulting in a poor customer experience and loss of sales. The root cause was attributed to a Price Domain URL change which was reverted to restore the services.",,3/12/2025,,,,,,,,,Change Failure,,The root cause was attributed to a Price Domain URL change which was reverted to restore the services.,Unauthorised change,,,,,,Balaji,Open,.Com SM,,2025,3,March,9/16/2025,188,>60
3/12/2025,3/12/2025,9065926,09:10,9:30,00:20,Customer Channels,Customer Engagement,Customer Channels,Selling Experience,Manage Payment & Content Customer.Com,MI,Customers unable to update profiles and navigate basket pages in mobile apps (iOS & Android),Secure Auth,NA,"£13,500.00",Mobile apps,RC identified,See Note,"Alerting indicated that customers were experiencing errors while updating their profiles and navigating basket pages on mobile apps (iOS & Android) between 09:10 and 09:30.  This led to a drop in 660 orders, resulting in a poor customer experience and a financial loss of £39k. The root cause was attributed to a change deployed by vendor Secure Auth, which was reverted to restore services. A detailed service review is scheduled with Secure Auth to improve their change stability and customer communication.",,3/12/2025,,,,,,,,,External Dependencies,," The root cause was attributed to a change deployed by vendor Secure Auth, which was reverted to restore services.",NA,,,,,,Kavitha,Open,.Com SM,,2025,3,March,9/16/2025,188,>60
3/10/2025,3/10/2025,90653767,11:00,11:45,00:45,Data,Data,Various,"Food, Finance, C&H Commercial Trading, International Commercial Trading",Others,KI,Colleagues unable to access scheduled/canned reports on SAP Business Objects Universe,TCS,Network,No Financial Impact,SAP BO,RC identified,72030,"C&H, Food, Finance & International colleagues were unable to access scheduled/canned reports on SAP Business objects  (BO) universe between 11:00 and 11:45. Around 70 colleagues would have been impacted based on last Monday's stats. The root cause was attributed to the deletion of BO storage account as part of housekeeping activity. Services were restored by reinstating the DNS entry within Infoblox.",,3/10/2025,,,,,,,,,Operational Process Issues,,Root cause is attributed to the deletion of the storage account responsible for the network connectivity between SAP BO Universe and Cloud Platform due to a process gap during the housekeeping activity.,WO,Please provide the WO number,NA,,,,Gokul,Open,MIM,Y,2025,3,March,9/16/2025,190,>60
3/9/2025,3/9/2025,90652016,04:29,17:35,13:06,GTS,Enterprise Technology Platform,Data,Data,Others,KI,Data Replication delay between EDW Prod and DR databases,TCS,Database,No Financial Impact,EDW DR Data,RC in progress,72005,"Alerting indicated a delay in replication between EDW DR and the production database servers, impacting Power BI self-service reports that rely on EDW DR resulting in a delay in data availability. The root cause was attributed to slowness in the EDW DR database replication after the GPFS firmware upgrade activity on one of the EDW DR Stockley Park servers on 08/03. Services were restored after isolating the affected server from the cluster and the DR and prod databases are in synch from 17:35. RCA underway with vendors IBM and HP.",,3/9/2025,,,,,,,,,Change Failure,,The root cause was attributed to slowness in the EDW DR database replication after the GPFS firmware upgrade activity on one of the EDW DR Stockley Park servers on 08/03,#216703,Lack of the lower environment,,,,,Saloni,Open,MIM,Y,2025,3,March,9/16/2025,191,>60
3/7/2025,3/7/2025,90641788,10:00,11:30,01:30,Customer Channels,Customer Engagement,Customer Channels,Service Experience,Manage Payment & Point of Sales in store,KI,Intermittent card payment failures across multiple Travel Money Bureau stores,Customer,Project team,No Financial Impact,Travel money exchange -Card Transactions,RC identified,71944,"After the Travel Bureau go-live to 15 stores, customers were unable to exchange currency using their credit / debit cards across 6 Travel Bureau stores.  However, as a workaround, customers were able to use cash or click & collect option on the website. The root cause was attributed to Zscaler intervention impacting the traffic flow to Verifone and a conflict within Verifone cloud due to similar pin pad names (Ignite & Eurochange). A network policy was created to include Verifone IP address to bypass the Zscaler and a API key was recreated by Verifone to restore services by 11:15.  Further actions will be picked up as part of the programme team.",,3/7/2025,,,,,,,,,Configuration Errors,, The root cause was attributed to Zscaler intervention impacting the traffic flow to Verifone and a conflict within Verifone cloud due to similar pin pad names (Ignite & Eurochange). ,NA,NA,NA,3/25/2025,March,2025,Naveen,Closed,MIM,NA - Issue as part of a program. Hence no PIR ,2025,3,March,9/16/2025,193,>60
3/6/2025,3/7/2025,90647077,22:45,1:50,03:05,GTS,Enterprise Integration, C&H and Intl,C&H and Intl Supply Chain,Manage Pick of C&H stock,SI,Carrier label printing failures at Ollerton DC impacting packing & despatch operations,Customer,Integration Services,"£6,233.00",Ollerton Label printing,RC in progress,71904,"Ollerton DC colleagues were unable to print carrier labels from 22:45 impacting packing and despatch operations resulting in a customer miss promise of 317 orders and capability loss of 7.7k singles incurring a financial loss of £6,233. The initial root cause was attributed to Mule engine going into ""hung"" state resulting in Sorted label printing failures. Services were restored by restarting the Mule services by 01:50.",,3/7/2025,,,,,,,,,Root Cause Undetermined/Still Under Investigation,,"The initial root cause was attributed to Mule engine going into ""hung"" state resulting in Sorted label printing failures.",NA,NA,,,,,Balaji,Open,MIM,,2025,3,March,9/16/2025,194,>60
