Business Platform,Product portfolio,Incident,Action Open Date,Title,Action,Action categorization,Action Owner,Action updates,DevOps / Product Team,Tactical/Strategic,ETA ,Action closed date,Key Actions,Status,Risk ID ,Backlog ID ,Back log Status,Problem Manager,Current day,Ageing,Aging Bucket,Action Closed month,Action closed year
Data,Digital & Data,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,It was confirmed that the issue was identified only after the colleagues reported and there is no proactive monitoring  to check the reports availability in the Power BI tool we need to Implement of Proactive monitoring after discussion with Vendor.,Problem identification & Alerting,Supriyo Pal,It was confirmed at this given point of time we do not have a monitoring to check the connectivity between Power BI application and the Data Source. Need suggestions from the Microsoft Vendor.,Microsoft Vendor ,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Digital Workplace Services,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,"As a proactive Impact assessment measure for future incidents, we are reaching out to all service leads to understand the potential impact on their operations if Power BI is unavailable.",Impact analysis,All Service Leads and Rehan,Rehan to send mail to all service leads to have the clarity on potential business impact,Service Leads,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Digital Workplace Services,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,To understand the delay in supplier engagement we have reached out to Ramya Vadivel - Microsoft Customer success account manager,Supplier and support involvement,"Siddiqui, Rehan",Rehan to send mail to Ramya to understand the gap.,MIM,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Data,Digital & Data,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,Risk #1584970835 - review must be initiated to realign the risk level based on recent findings,Impact analysis,"Barrett, Timothy",The Risk review discussion must be initiated with Andrew Neilson,Customer,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Digital Workplace Services,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,Vendor management team to Clarify the agreed Turnaround time for sharing the Root Cause and engagement in Incident Call as per contract.,Supplier and support involvement,Arun Narayanan,We will discuss this with the vendor management team to identify any deviations from the contractual obligations.,Vendor Management,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Digital Workplace Services,90702108,08/04/25,Power BI Reports inaccessible due to Central Microsoft issue,Vendor management team to review and discuss with Microsoft Vendor on the Process alignment to publish the Root Cause.,Supplier and support involvement,Arun Narayanan,Vendor Management will discuss and evaluate the feasibility of aligning the vendor to the Customer process if any deviations are identified.,Vendor Management,,18/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"To create an alert for top categories that return zero search results, it is essential to collaborate with the Apps team. This collaboration will help identify the most frequently used categories and any specific categories of interest. 
Please update the Search service runbook to include the procedure to be followed when this alert is triggered, as well as the recovery steps.",Problem identification & Alerting,Toyin Butler,Results in search and there are certain categories that should never return 0. So that's something that we are going to implement,Engineering Manager (Search & Sort),,17/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,A feature is needed in Merch Hub to indicate the rule audit changes captured in the Search Service. This information should also be accessible in New Relic or a similar APM tool to help narrow down the changes effectively.,Problem identification & Alerting,Jack Reeves,Currently there is no functionality available to have a historical log of changes in the merchandising hub when changes are made.,Product Manager (Search & Sort),,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"To enhance customer experience, it is essential to establish alert conditions for instances where PLP items yield zero results from the Search Response API. This process should ensure traceability of search requests, allowing for seamless data flow from Mobile Apps to Elastic and the accurate transfer of relevant data back to the users.",Problem identification & Alerting,Matthew Magee,"Matt will assess the feasibility of implementing customer experience alerts.

Rob can help on the Front end experience on how to define result responses and contract",Android App,,17/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"Consider implementing an enhanced debugging approach for search requests originating from various channels, particularly those that follow specific category patterns or involve a limited number of requests. This strategy will facilitate quicker issue identification for teams, streamlining the troubleshooting process.",Problem identification & Alerting,Robert Haley,,Staff Manager (Search & Sort),,17/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"Amending the existing runbook on the contacts, procedures for clearing the web, SRP.  This update aims to eliminate any confusion regarding which cache needs to be cleared to restore customer experience effective.",Solution & Recovery,Toyin Butler,,Engineering Manager (Search & Sort),,17/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"Amending the existing runbook on the contacts, procedures for clearing the web, SRP.  This update aims to eliminate any confusion regarding which cache needs to be cleared to restore customer experience effective.",Impact analysis,Priyabrata Sahu,"Informational, no actions required. 
The team was on the incident bridge to investigate the cause of the initial service recovery, which was unusual, since the services restored themselves. Despite this, communication remained a high priority.",Service Lead,,NA,03/04/25,,Closed,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"Conduct a refresher training with Merch Hub users on global rules. Looking at today's incident it was clear that making changes to global rules can damage website availability, customer experience",Problem avoidance,Sneha Das,,Senior Product Manager (Search & Sort),,16/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"Implement a feature that notifies users when they are making, modifying, or adding changes to global rules. This UI alert should include a warning message outlining the potential implications of the changes on the website",Problem avoidance,Holly Morris,,Associate Product Manager (Search & Sort),,16/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,Global rule changes should implement a structured role-based (access control authorization) workflow to effectively manage any amendments. This approach will enhance the strategic understanding of any gaps that may exist.,Permanent Fix,Sneha Das,"All global rule functions had been migrated from BR to Merch Hub as-it-is. What is the purpose of using global rule functions and impact to wider website?	",Senior Product Manager (Search & Sort),,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,Conduct a discovery workshop focused on the upcoming Product Launch and the features of Campaign Launch within Merch Hub. We will explore how to optimize product data usage for enhanced control and effectiveness.,Permanent Fix,Holly Morris,"Discussion with Business Stakeholders (Charlotte, Himanshu) on use cases of new product launch  ",Associate Product Manager (Search & Sort),,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,"It is essential to evaluate all current features of MerchHub, many of which are derived from Bloomreach. These features pose significant risks to the business, affect customer experience, and influence trade, particularly in cases like the Global rule. Additionally, it is crucial to map out user actions within the Hub to understand any broader implications that may arise.",Permanent Fix,Sneha Das,,Senior Product Manager (Search & Sort),,23/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Customer Engagement,90704278,03/04/25,Search Services performance impacting search results & PLPs,Address the fuzzy search behavior which was returning incorrect/unrelated search results during the incident,Problem avoidance,Robert Haley,,Staff Manager (Search & Sort),,16/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,Rigor In Operations - Team Refresh session to be done ( Not to be overconfident & complacent),Problem avoidance,Sumitro Chakravarty,"Follow-up has been send, we are awaiting feedback on the latest update.",.com,,03/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,"Multiple tasks not getting clubbed together by the same person performing the change - GTM Change, Deployment, DB Checks.",Problem avoidance,Sumitro Chakravarty,"Follow-up has been send, we are awaiting feedback on the latest update.",.com,,03/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,Carry out the GTM at around 10:30 PM UK time the previous night so that the person doing the release can check that traffic is 100% on the correct hall. To be added to the deployment plan Note: Ensure that a single hall can handle the traffic before carrying out the GTM,Problem avoidance,"Karuppasamy, Ramachandran","Follow-up has been send, we are awaiting feedback on the latest update.",.com,,01/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,DBA will check the traffic in the database to ensure that no hit is coming from the hall/origin where the deployment will happen. Add this step to the deployment plan,Problem avoidance,"Gaikwad, VivekanandaKaruppasamy, Ramachandran","Follow-up has been send, we are awaiting feedback on the latest update.",.com,,01/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,Review whether an alert can be triggered if the GTM has not worked as expected,Problem identification & Alerting,"Karuppasamy, Ramachandran","Follow-up has been send, we are awaiting feedback on the latest update.",.com,,01/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,"Review whether it is possible to simplify the GTM (i.e. review number of properties, currently 7, can any of them be combined)",Problem avoidance,"Pandi, Thirumal","Follow-up has been send, we are awaiting feedback on the latest update.",.com,,01/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,Check absolute numbers for GTM (visual confirmation). Create New Relic widget to show %age of traffic on each hall,Problem identification & Alerting,"Karuppasamy, Ramachandran","Follow-up has been send, we are awaiting feedback on the latest update.",.com,,01/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90685299,26/03/25,Customers unable to place orders across UK & IE website.,Review with David Raine whether or not the GTM process can be automated,Solution & Recovery,"Sumitro Chakravarty Raine, David","Follow-up has been send, we are awaiting feedback on the latest update.",.com,,01/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90678495,21/03/25,"Incorrect promo code badge appearing across PLP's, SRP's & PDP's for UK",Guidelines to create promotions fresh rather cloning pervious templates and SOP was updated with checklist and peer review guidelines.,Problem avoidance,"Natarajan, Srinivasan", Promotions fresh has been completed,.com,,NA,28/03/25,,Closed,,,,,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90678495,21/03/25,"Incorrect promo code badge appearing across PLP's, SRP's & PDP's for UK",Configured alert to detect improper combinations e.g. system coded combined with sparks segment.,Problem identification & Alerting,Dhanaseelan Mahalingam; Revathi Gopalakrishnan,Alert has been configured,.com,,NA,28/03/25,,Closed,,,,,16/09/25,#REF!,#REF!,#REF!,#REF!
Business Process Services,Business Process Services,90678495,21/03/25,"Incorrect promo code badge appearing across PLP's, SRP's & PDP's for UK",Business ops team to include checks for appropriate badges while performing site walk (Sanity checks) ,Problem avoidance,"Natarajan, Srinivasan","Checks has been included, awaiting calrity on what checks has been included.",.com,,28/03/25,,,Open,,,,,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90678495,21/03/25,"Incorrect promo code badge appearing across PLP's, SRP's & PDP's for UK",Exploring the feasibility of decoupling promotion displays form the main product assembly process,Problem avoidance,"Chitluri, Kesava Manikanta",We are not doing any development work in PA as its legacy API and consumers will use Federation to get similar functionality in future.,.com,,31/03/25,,,Open,,,,,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,9065926,13/03/25,Customers unable to update profiles and navigate basket pages in mobile apps (iOS & Android),"Until E2E test script is fixed, all production changes will be manually reviewed and released with caution. This action should have a date as well",Problem avoidance,"Oladoja, Tawfiq",13/03: Dave to create a meeting with Order fulfilment team to review their Deployment processes.,Basket Pages,,18/04/25,,,Open,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,9065926,13/03/25,Customers unable to update profiles and navigate basket pages in mobile apps (iOS & Android),"An evaluation of the change management process for standard pipelines, focusing on integration with Remedy, is essential for optimizing workflow and ensuring seamless operations.",Impact analysis,"Webster, Charly/
Priyabrata Sahu","13/03: This is for service management to work with platform, on brightcloud integrating with Remedy for automated change requests 

16/04/2025 We have a PR open for both Remedy workflow for zero approval and deployment markets. The platform team are stopping us from merging both currently and will come back with estimates next week on when we can merge in the deployment-markers repository once they have integrated the zero trust workflow for Remedy.",Basket Pages,,30/04/25,,,Open,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,9065926,13/03/25,Customers unable to update profiles and navigate basket pages in mobile apps (iOS & Android),Assess the alerts to determine if the price domain requires earlier notifications.,Problem avoidance,"Oladoja, Tawfiq",13/03: Yet to start,Price Domain ,,18/04/25,,,Open,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,9065926,13/03/25,Customers unable to update profiles and navigate basket pages in mobile apps (iOS & Android),"Incorporate the allowed_uri in Terraform with the updated endpoint_uri, and verify that the Smoke Test passes successfully.",Problem avoidance,Problem avoidance,13/03: The change to Incorporate the allowed_uri in Terraform with the updated endpoint_uri has been implemented ,Basket Pages,,NA,3/13/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,9065926,13/03/25,Customers unable to update profiles and navigate basket pages in mobile apps (iOS & Android),Enhance the Smoke Test to identify issues when modifying the endpoint URI.,Problem avoidance,"Oladoja, Tawfiq","13/03: There are43 parts to the action out of which 2 are done and 2 are inprogress
Part 1 - add create quote request which does not use a cached quote. (DONE)
Part 2 - make price talk to price-enquiry via the custom DNS. (DONE)
Part 3 - add post deployment smoke tests for dev and prod (IN PROGRESS)
Part 4 - ensure we are using slotted deployment for dev, (NOT STARTED) 	",Basket Pages,,15/05/25,,,Open,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Enterprise Integration ,90641785,18/03/25,Delay in sales data availability on the Retail Dashboard,"Review and refine the testing scenario, ensure we cover all the aspects during testing.",Problem identification & Alerting,"Vijendra Rao, Swathika","18/03; Due to inadequate testing, we were not able to identify the subscription changes in the lower environment due to the time of testing. It has been agreed to include more testing scenarios and to have extended hypercare to capture all the observations with the message flow across all the interfaces.",Cloud integration frame work,,NA,3/18/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Enterprise Integration ,90641785,18/03/25,Delay in sales data availability on the Retail Dashboard,Amend the alert configurations within MQ to trigger the alerts to the appropriate product teams for efficient issue identification and recovery,Problem identification & Alerting,"Subramanian, Rajasekar","18/03: Alerting set-up has been reviewed, for any future reoccurrence of the issue, alerts are expected to be triggered to the right audience.",Messaging Team,,NA,3/18/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Enterprise Integration ,90641785,18/03/25,Delay in sales data availability on the Retail Dashboard,Ensure code comparison is performed before any deployment.,Problem avoidance,"Vijendra Rao, Swathika","18/03: Going forward for any version upgrades/changes via Github, a code comparison will be performed between the Production version and the intended version to ensure the right code deployment. This step will be added as part of the implementation plan. SOP are updated to include the code comparison step on the implementation plan for any version upgrade/code changes.",Cloud integration frame work,,NA,3/18/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Enterprise Integration ,90641785,18/03/25,Delay in sales data availability on the Retail Dashboard,"Enable access restrictions to Master branch, so that any changes to the Master branch is being performed only by the right team.",Problem avoidance,"Subramanian, Rajasekar","18/03:All the admin dev access has been revoked, keeping the permissions limited to the senior SME's for any code changes to be performed on the MQ gateway and repository through proper approval process.",Cloud integration frame work,,NA,3/18/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Enterprise Integration ,Enterprise Integration ,90641785,18/03/25,Delay in sales data availability on the Retail Dashboard,Review all the changes made to the Master branch within the Github and ensure all changes go through proper approval process.,Problem avoidance,"Pandurangan, Saranya",18/03: Action item Completed. Going forward any changes to the Master branch will be committed only after the proper approval from the cloud frameworks team.,Messaging Team,,NA,3/18/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90617876,28/02/25,Delay in Foods NDC allocations impacting picking operations at the sites,Apply restriction Relex UI to stop erroneous updates on the ''corrective forecast for total figures field',Problem identification & Alerting,Gagandeep Singh,"15/04: We have received a confirmation that the threshold to invoke contingency plan has been agreed with Relex. The threshold metrics are mentioned in the below update.
28/02: The threshold has been being agreed and is under business review and once it formalised it will be monitored, and the alerts will be configured
 

Below are the threshold levels that as been agreed upon,

Variance in both Day-1 and Day-7 order volumes exceeds 25

Variance in either Day-1 or Day-7 exceeds 50%.",Relex/ Ganadeep,,NA,4/15/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90617876,28/02/25,Delay in Foods NDC allocations impacting picking operations at the sites,Configure automated alerts to notify an over allocation volume with Relex for proactive issue identification,Problem avoidance,Gagandeep Singh,"	
28/02: will be prioritize once the cutover tech is complete FOATR-27355 has been raised to track",Relex/ Ganadeep,,NA,2/28/2025,,Closed,,,,Kavitha,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90669693,24/03/25,Goodwill voucher of $100 auto applied for international orders from US site,Promotion Go Live Testing Process Review,Problem avoidance," Srinivasan Natarajan, Vineetha.Sreejith","09/04 - Follow-up has been made, yet to receive an update
24/03 - Review and ensure we have a comprehensive testing strategy
Develop test cases for wider use cases",.com,,30/04/25,,,Open,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
